"site","url","nonobs","short_url"
"unian.net","https://economics.unian.net/other/10144856-polshe-trudno-bez-deshevoy-rabochey-sily-smi.html","Ненадійне джерело інформації","http://bit.ly/2PDLH2X"
"politeka.net","https://politeka.net/news/society/664439-nazrevaet-narodnyj-bunt-ukraincy-vydvinuli-trebovanija-chto-proishodit/","Недостовірна новина","http://bit.ly/2yHnBwN"
"hronika.info","http://hronika.info/kultura/323776-populyarnaya-pevica-vylozhila-v-set-pikantnoe-foto.html","Ненадійне джерело інформації","http://bit.ly/2PKqrIw"
"comments.ua","http://comments.ua/world/623453-kanada-stat-pervoy.html","Недостовірна новина","http://bit.ly/2yGaDiV"
"ria.ru","http://ria.ru/world/20180607/1522276355.html","Ненадійне джерело інформації","http://bit.ly/2PDVbuO"
"hronika.info","http://hronika.info/mnenia/323571-kreml-v-panike-ot-perspektivy-aresta-aktivov-sp-2.html","Ненадійне джерело інформації","http://bit.ly/2yEpLxc"
"fakty.ua","http://fakty.ua/271052-socseti-cygane-v-kieve-zahvatyvayut-parki-i-vyrubayut-derevya-zhdat-novyh-pogromov-foto","Ненадійне джерело інформації","http://bit.ly/2yEpN8i"
"newsone.ua","http://newsone.ua/news/society/ukrainskij-format-vnov-vozhlavil-rejtinh-po-vsem-auditorijam-informatsionno-novostnoho-sehmenta-ukrainy.html","Ненадійне джерело інформації","http://bit.ly/2yJDG5j"
"telegraf.com.ua","https://telegraf.com.ua/zhizn/zdorove/4101831-produktyi-kotoryie-pomogut-ochistit-pechen-2.html","Недостовірна новина","http://bit.ly/2PCiplf"
"from-ua.com","http://from-ua.com/news/447370-novoe-onlain-kazino-superslots-kakimi-preimuschestvami-ono-obladaet.html","Недостовірна новина","http://bit.ly/2PEj1H4"
"ukranews.com","http://ukranews.com/news/567512-savchenko-trebuet-ot-sbu-proveryt-ynformacyyu-o-fynansyrovanyy-lyudey-pashynskogo-putynym","Ненадійне джерело інформації","http://bit.ly/2yHt9r6"
